epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,909.73,0.75903,0.89369,0.93679,0.99508,0.9964,0.99312,0.85753,0.61538,0.34783,0.89862,0.00333239,0.00333239,0.00333239
2,1786.04,0.6706,0.37125,0.92321,0.99533,0.99722,0.99299,0.88904,0.53627,0.27154,0.88934,0.00600582,0.00600582,0.00600582
3,2645.43,0.66155,0.35685,0.93123,0.99503,0.99722,0.99298,0.89134,0.5209,0.2633,0.89217,0.00801925,0.00801925,0.00801925
